Team,Min,Pts,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,PF,WinsLosses
BOS,240,109,38,97,39.2,10,33,30.3,23,32,71.9,15,35,50,30,10,9,8,16,L
BOS,240,112,45,89,50.6,9,32,28.1,13,18,72.2,8,33,41,31,9,6,12,22,L
BOS,240,86,35,91,38.5,5,33,15.2,11,20,55,17,34,51,16,11,4,14,22,L
BOS,265,123,47,89,52.8,9,26,34.6,20,24,83.3,9,37,46,25,9,6,18,23,W
BOS,240,111,42,90,46.7,15,34,44.1,12,14,85.7,8,43,51,27,12,5,14,12,W
BOS,240,94,36,93,38.7,14,42,33.3,8,10,80,11,31,42,19,11,5,13,16,L
BOS,240,115,39,88,44.3,17,43,39.5,20,22,90.9,5,23,28,31,11,3,8,20,L
BOS,265,116,39,97,40.2,14,37,37.8,24,31,77.4,17,39,56,21,6,6,16,18,W
BOS,240,107,44,87,50.6,9,31,29,10,12,83.3,7,33,40,22,9,9,12,21,L
BOS,240,101,38,88,43.2,19,46,41.3,6,9,66.7,10,35,45,23,6,8,14,20,L
BOS,240,117,41,92,44.6,24,55,43.6,11,13,84.6,8,34,42,30,5,8,13,23,W
BOS,240,108,37,84,44,9,31,29,25,32,78.1,8,38,46,25,8,4,14,20,W
BOS,240,109,39,86,45.3,14,34,41.2,17,25,68,8,46,54,25,4,8,13,26,W
BOS,240,101,33,86,38.4,11,32,34.4,24,33,72.7,10,35,45,19,7,1,12,27,W
BOS,240,90,37,91,40.7,9,40,22.5,7,9,77.8,9,42,51,21,6,3,12,15,L
BOS,240,103,33,82,40.2,9,25,36,28,33,84.8,11,36,47,21,8,2,15,26,W
BOS,240,101,40,99,40.4,14,36,38.9,7,10,70,16,33,49,29,4,6,16,27,L
BOS,240,105,42,97,43.3,11,37,29.7,10,14,71.4,12,43,55,21,7,5,15,20,W
BOS,240,116,45,99,45.5,15,44,34.1,11,23,47.8,13,37,50,27,10,3,6,17,W
BOS,240,108,42,89,47.2,12,31,38.7,12,14,85.7,6,33,39,28,9,4,14,19,L
BOS,240,117,48,92,52.2,7,27,25.9,14,16,87.5,7,42,49,27,7,6,11,15,W
BOS,240,112,38,80,47.5,9,24,37.5,27,31,87.1,6,36,42,25,8,7,12,21,W
BOS,240,110,36,91,39.6,17,40,42.5,21,24,87.5,14,35,49,25,8,2,13,18,W
BOS,240,96,35,83,42.2,8,20,40,18,23,78.3,7,32,39,19,8,7,15,25,L
BOS,240,114,44,86,51.2,13,27,48.1,13,17,76.5,7,36,43,27,8,5,14,19,W
BOS,240,116,46,91,50.5,10,25,40,14,19,73.7,11,35,46,23,8,3,10,21,W
BOS,240,96,38,94,40.4,7,35,20,13,16,81.3,11,34,45,23,4,2,8,14,L
BOS,240,117,44,93,47.3,19,43,44.2,10,15,66.7,7,35,42,31,6,8,11,23,L
BOS,240,115,45,96,46.9,12,32,37.5,13,16,81.3,10,36,46,22,1,3,9,25,L
BOS,240,105,39,93,41.9,12,39,30.8,15,19,78.9,12,25,37,24,12,5,13,16,L
BOS,240,129,44,93,47.3,13,36,36.1,28,37,75.7,11,35,46,30,10,7,14,21,W
BOS,240,126,49,97,50.5,9,28,32.1,19,26,73.1,10,42,52,32,7,2,13,20,W
BOS,240,115,44,91,48.4,14,36,38.9,13,19,68.4,7,22,29,26,11,4,13,24,L
BOS,240,120,48,93,51.6,14,38,36.8,10,14,71.4,6,37,43,32,6,5,13,17,W
BOS,240,111,40,79,50.6,13,33,39.4,18,21,85.7,3,32,35,26,11,1,18,22,W
BOS,240,128,49,96,51,14,34,41.2,16,17,94.1,9,37,46,38,12,5,11,24,W
BOS,240,104,37,77,48.1,8,28,28.6,22,29,75.9,8,36,44,23,7,0,13,23,L
BOS,240,107,42,94,44.7,10,35,28.6,13,17,76.5,11,35,46,26,12,3,12,18,W
BOS,240,92,40,86,46.5,5,28,17.9,7,10,70,8,33,41,20,5,4,17,20,L
BOS,240,95,33,86,38.4,6,30,20,23,28,82.1,10,37,47,24,6,4,14,20,L
BOS,240,116,45,92,48.9,10,29,34.5,16,21,76.2,6,26,32,26,6,7,7,18,L
BOS,240,97,39,102,38.2,14,40,35,5,6,83.3,12,38,50,19,11,9,7,15,L
BOS,240,118,45,88,51.1,16,39,41,12,15,80,10,37,47,32,8,2,16,22,W
BOS,240,112,41,88,46.6,13,29,44.8,17,21,81,8,33,41,24,9,3,5,23,W
BOS,240,112,39,92,42.4,9,26,34.6,25,31,80.6,8,37,45,21,9,3,12,29,L
BOS,240,128,46,94,48.9,16,38,42.1,20,20,100,11,37,48,35,7,5,8,16,L
BOS,240,103,40,82,48.8,9,26,34.6,14,14,100,8,34,42,29,10,10,13,14,W
BOS,240,134,54,91,59.3,13,34,38.2,13,17,76.5,5,33,38,36,8,6,14,22,W
BOS,240,113,46,100,46,13,37,35.1,8,10,80,11,32,43,25,11,7,7,18,W
BOS,240,126,50,90,55.6,12,29,41.4,14,16,87.5,12,41,53,34,10,7,12,14,W
BOS,240,112,45,100,45,13,40,32.5,9,10,90,16,36,52,29,11,16,18,16,W
BOS,240,111,41,99,41.4,15,40,37.5,14,15,93.3,15,34,49,23,6,4,14,22,L
BOS,240,123,45,86,52.3,12,25,48,21,23,91.3,9,34,43,25,12,5,14,20,W
BOS,240,107,43,87,49.4,12,30,40,9,10,90,8,28,36,26,13,7,19,21,W
BOS,240,113,39,88,44.3,12,32,37.5,23,25,92,11,32,43,19,10,8,15,18,W
BOS,240,122,44,86,51.2,17,38,44.7,17,22,77.3,10,42,52,29,5,9,17,20,W
BOS,240,117,46,92,50,14,30,46.7,11,13,84.6,14,35,49,32,7,6,15,24,W
BOS,240,102,37,91,40.7,11,36,30.6,17,23,73.9,10,31,41,21,10,8,12,21,L
BOS,240,103,38,90,42.2,8,32,25,19,28,67.9,10,36,46,19,7,3,8,18,L
BOS,240,99,36,89,40.4,12,34,35.3,15,17,88.2,9,28,37,20,5,8,11,10,L
BOS,240,135,50,88,56.8,14,32,43.8,21,24,87.5,9,39,48,32,7,7,14,25,W
BOS,240,116,47,93,50.5,12,32,37.5,10,12,83.3,6,37,43,37,13,2,14,21,W
BOS,240,114,42,96,43.8,21,45,46.7,9,11,81.8,14,39,53,35,12,4,13,16,W
BOS,240,115,45,76,59.2,12,30,40,13,15,86.7,3,30,33,34,10,9,16,21,W
